CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
3472264;150140;0;0;0;0;0;0;0;0
3526569;150140;0;0;0;0;0;0;0;0
3545911;150140;0;0;0;0;0;0;0;0
3656969;150140;0;0;0;0;0;0;0;0
4005759;150140;2;10;5;0;0;5;0;0
4005775;150140;76;20;0;0;0;2;0;6
5022517;150140;5;4;0;0;0;0;0;0
5078504;150140;0;0;0;0;0;0;0;0
5094232;150140;0;0;0;0;0;0;0;0
5111730;150140;0;0;0;0;0;0;0;0
5262100;150140;0;0;0;0;0;0;0;0
5332419;150140;0;0;0;0;0;0;0;0
5332427;150140;0;0;0;0;0;0;0;0
5346630;150140;0;0;0;0;0;0;0;0
5448158;150140;0;0;0;0;0;0;0;0
5654335;150140;0;0;0;0;0;0;0;0
6522734;150140;0;0;0;0;0;0;0;0
6850561;150140;0;0;0;0;0;0;0;0
7058330;150140;0;0;0;0;0;0;0;0
7453124;150140;0;0;0;0;0;0;0;0
7486413;150140;89;5;0;4;0;0;0;6
7871902;150140;0;0;0;3;0;76;0;10
7967012;150140;20;40;0;1;0;0;0;10
9087958;150140;0;0;0;0;0;0;0;0
9247815;150140;0;0;0;0;0;0;0;0
9387137;150140;0;0;0;0;0;0;0;0
9811842;150140;0;0;0;0;0;0;0;0
9917322;150140;24;48;48;12;0;24;0;0
3738698;150145;1;9;3;1;0;7;0;0
2678624;150157;6;12;7;0;0;6;0;0
2678322;150170;11;43;17;0;0;11;0;0
2678403;150170;14;20;22;0;0;14;10;30
2678756;150170;14;39;23;3;0;30;10;0
9031103;150172;4;14;9;0;0;6;0;0
2312166;150175;5;10;3;1;0;6;0;0
2678500;150178;10;16;7;1;2;9;0;0
2418657;150180;25;27;17;0;0;21;0;0
6710158;150180;28;8;6;3;0;8;0;17
2675951;150190;10;11;2;0;0;7;0;0
2316234;150200;2;8;6;0;0;4;0;0
2313367;150210;24;8;11;1;0;16;0;0
2418665;150210;16;38;29;0;0;24;3;0
